-----+- ADTS Frame Table -+------+
 NUM | Profile | Frequency| Size |
  175|       LC|   44100Hz|   372|
  176|       LC|   44100Hz|   371|
  177|       LC|   44100Hz|   372|
  178|       LC|   44100Hz|   371|
  179|       LC|   44100Hz|   372|
  180|       LC|   44100Hz|   371|
  181|       LC|   44100Hz|   372|
  182|       LC|   44100Hz|   372|
  183|       LC|   44100Hz|   371|
  184|       LC|   44100Hz|   372|
  185|       LC|   44100Hz|   371|
  186|       LC|   44100Hz|   372|
  187|       LC|   44100Hz|   371|
  188|       LC|   44100Hz|   372|
  189|       LC|   44100Hz|   371|
  190|       LC|   44100Hz|   372|
  191|       LC|   44100Hz|   371|
  192|       LC|   44100Hz|   372|
  193|       LC|   44100Hz|   371|
  194|       LC|   44100Hz|   372|
  195|       LC|   44100Hz|   371|
  196|       LC|   44100Hz|   372|
  197|       LC|   44100Hz|   371|
  198|       LC|   44100Hz|   372|
  199|       LC|   44100Hz|   371|
  200|       LC|   44100Hz|   372|
  201|       LC|   44100Hz|   371|
  202|       LC|   44100Hz|   372|
  203|       LC|   44100Hz|   371|
  204|       LC|   44100Hz|   372|
  205|       LC|   44100Hz|   371|
  206|       LC|   44100Hz|   372|
  207|       LC|   44100Hz|   372|
  208|       LC|   44100Hz|   371|
  209|       LC|   44100Hz|   372|
  210|       LC|   44100Hz|   371|
  211|       LC|   44100Hz|   372|
  212|       LC|   44100Hz|   371|
  213|       LC|   44100Hz|   372|
  214|       LC|   44100Hz|   371|
  215|       LC|   44100Hz|   372|
  216|       LC|   44100Hz|   371|
  217|       LC|   44100Hz|   372|
  218|       LC|   44100Hz|   371|
  219|       LC|   44100Hz|   372|
  220|       LC|   44100Hz|   371|
  221|       LC|   44100Hz|   372|
  222|       LC|   44100Hz|   371|
  223|       LC|   44100Hz|   372|
  224|       LC|   44100Hz|   371|
  225|       LC|   44100Hz|   372|
  226|       LC|   44100Hz|   371|
  227|       LC|   44100Hz|   372|
  228|       LC|   44100Hz|   371|
  229|       LC|   44100Hz|   372|
  230|       LC|   44100Hz|   371|
  231|       LC|   44100Hz|   372|
  232|       LC|   44100Hz|   371|
  233|       LC|   44100Hz|   372|
  234|       LC|   44100Hz|   372|
  235|       LC|   44100Hz|   371|
  236|       LC|   44100Hz|   372|
  237|       LC|   44100Hz|   371|
  238|       LC|   44100Hz|   372|
  239|       LC|   44100Hz|   371|
  240|       LC|   44100Hz|   372|
  241|       LC|   44100Hz|   371|
  242|       LC|   44100Hz|   372|
  243|       LC|   44100Hz|   371|
  244|       LC|   44100Hz|   372|
  245|       LC|   44100Hz|   371|
  246|       LC|   44100Hz|   372|
  247|       LC|   44100Hz|   371|
  248|       LC|   44100Hz|   372|
  249|       LC|   44100Hz|   371|
  250|       LC|   44100Hz|   372|
  251|       LC|   44100Hz|   371|
  252|       LC|   44100Hz|   372|
  253|       LC|   44100Hz|   371|
  254|       LC|   44100Hz|   372|
  255|       LC|   44100Hz|   371|
  256|       LC|   44100Hz|   372|
  257|       LC|   44100Hz|   371|
  258|       LC|   44100Hz|   372|
  259|       LC|   44100Hz|   372|
  260|       LC|   44100Hz|   371|
  261|       LC|   44100Hz|   372|
  262|       LC|   44100Hz|   371|
  263|       LC|   44100Hz|   372|
  264|       LC|   44100Hz|   371|
  265|       LC|   44100Hz|   372|
  266|       LC|   44100Hz|   371|
  267|       LC|   44100Hz|   372|
  268|       LC|   44100Hz|   371|
  269|       LC|   44100Hz|   372|
  270|       LC|   44100Hz|   371|
  271|       LC|   44100Hz|   372|
  272|       LC|   44100Hz|   371|
  273|       LC|   44100Hz|   372|
  274|       LC|   44100Hz|   371|
  275|       LC|   44100Hz|   372|
  276|       LC|   44100Hz|   371|
  277|       LC|   44100Hz|   372|
  278|       LC|   44100Hz|   371|
  279|       LC|   44100Hz|   372|
  280|       LC|   44100Hz|   371|
  281|       LC|   44100Hz|   372|
  282|       LC|   44100Hz|   371|
  283|       LC|   44100Hz|   372|
  284|       LC|   44100Hz|   371|
  285|       LC|   44100Hz|   372|
  286|       LC|   44100Hz|   372|
  287|       LC|   44100Hz|   371|
  288|       LC|   44100Hz|   372|
  289|       LC|   44100Hz|   371|
  290|       LC|   44100Hz|   372|
  291|       LC|   44100Hz|   371|
  292|       LC|   44100Hz|   372|
  293|       LC|   44100Hz|   371|
  294|       LC|   44100Hz|   372|
  295|       LC|   44100Hz|   371|
  296|       LC|   44100Hz|   372|
  297|       LC|   44100Hz|   371|
  298|       LC|   44100Hz|   372|
  299|       LC|   44100Hz|   371|
  300|       LC|   44100Hz|   372|
  301|       LC|   44100Hz|   371|
  302|       LC|   44100Hz|   372|
  303|       LC|   44100Hz|   371|
  304|       LC|   44100Hz|   372|
  305|       LC|   44100Hz|   371|
  306|       LC|   44100Hz|   372|
  307|       LC|   44100Hz|   371|
  308|       LC|   44100Hz|   372|
  309|       LC|   44100Hz|   371|
  310|       LC|   44100Hz|   372|
  311|       LC|   44100Hz|   372|
  312|       LC|   44100Hz|   371|
  313|       LC|   44100Hz|   372|
  314|       LC|   44100Hz|   371|
  315|       LC|   44100Hz|   372|
  316|       LC|   44100Hz|   371|
  317|       LC|   44100Hz|   372|
  318|       LC|   44100Hz|   371|
  319|       LC|   44100Hz|   372|
  320|       LC|   44100Hz|   371|
  321|       LC|   44100Hz|   372|
  322|       LC|   44100Hz|   371|
  323|       LC|   44100Hz|   372|
  324|       LC|   44100Hz|   371|
  325|       LC|   44100Hz|   372|
  326|       LC|   44100Hz|   371|
  327|       LC|   44100Hz|   372|
  328|       LC|   44100Hz|   371|
  329|       LC|   44100Hz|   372|
  330|       LC|   44100Hz|   371|
  331|       LC|   44100Hz|   372|
  332|       LC|   44100Hz|   371|
  333|       LC|   44100Hz|   372|
  334|       LC|   44100Hz|   371|
  335|       LC|   44100Hz|   372|
  336|       LC|   44100Hz|   371|
  337|       LC|   44100Hz|   372|
  338|       LC|   44100Hz|   372|
  339|       LC|   44100Hz|   371|
  340|       LC|   44100Hz|   372|
  341|       LC|   44100Hz|   371|
  342|       LC|   44100Hz|   372|
  343|       LC|   44100Hz|   371|
  344|       LC|   44100Hz|   372|
  345|       LC|   44100Hz|   371|
  346|       LC|   44100Hz|   372|
  347|       LC|   44100Hz|   371|
  348|       LC|   44100Hz|   372|
  349|       LC|   44100Hz|   371|
  350|       LC|   44100Hz|   372|
  351|       LC|   44100Hz|   371|
  352|       LC|   44100Hz|   372|
  353|       LC|   44100Hz|   371|
  354|       LC|   44100Hz|   372|
  355|       LC|   44100Hz|   371|
  356|       LC|   44100Hz|   372|
  357|       LC|   44100Hz|   371|
  358|       LC|   44100Hz|   372|
  359|       LC|   44100Hz|   371|
  360|       LC|   44100Hz|   372|
  361|       LC|   44100Hz|   371|
  362|       LC|   44100Hz|   372|
  363|       LC|   44100Hz|   372|
  364|       LC|   44100Hz|   371|
  365|       LC|   44100Hz|   372|
  366|       LC|   44100Hz|   371|
  367|       LC|   44100Hz|   372|
  368|       LC|   44100Hz|   371|
  369|       LC|   44100Hz|   372|
  370|       LC|   44100Hz|   371|
  371|       LC|   44100Hz|   372|
  372|       LC|   44100Hz|   371|
  373|       LC|   44100Hz|   372|
  374|       LC|   44100Hz|   371|
  375|       LC|   44100Hz|   372|
  376|       LC|   44100Hz|   371|
  377|       LC|   44100Hz|   372|
  378|       LC|   44100Hz|   371|
  379|       LC|   44100Hz|   372|
  380|       LC|   44100Hz|   371|
  381|       LC|   44100Hz|   372|
  382|       LC|   44100Hz|   371|
  383|       LC|   44100Hz|   372|
  384|       LC|   44100Hz|   371|
  385|       LC|   44100Hz|   372|
  386|       LC|   44100Hz|   371|
  387|       LC|   44100Hz|   372|
  388|       LC|   44100Hz|   371|
  389|       LC|   44100Hz|   372|
  390|       LC|   44100Hz|   372|
  391|       LC|   44100Hz|   371|
  392|       LC|   44100Hz|   372|
  393|       LC|   44100Hz|   371|
  394|       LC|   44100Hz|   372|
  395|       LC|   44100Hz|   371|
  396|       LC|   44100Hz|   372|
  397|       LC|   44100Hz|   371|
  398|       LC|   44100Hz|   372|
  399|       LC|   44100Hz|   371|
  400|       LC|   44100Hz|   372|
  401|       LC|   44100Hz|   371|
  402|       LC|   44100Hz|   372|
  403|       LC|   44100Hz|   371|
  404|       LC|   44100Hz|   372|
  405|       LC|   44100Hz|   371|
  406|       LC|   44100Hz|   372|
  407|       LC|   44100Hz|   371|
  408|       LC|   44100Hz|   372|
  409|       LC|   44100Hz|   371|
  410|       LC|   44100Hz|   372|
  411|       LC|   44100Hz|   371|
  412|       LC|   44100Hz|   372|
  413|       LC|   44100Hz|   371|
  414|       LC|   44100Hz|   372|
  415|       LC|   44100Hz|   372|
  416|       LC|   44100Hz|   371|
  417|       LC|   44100Hz|   372|
  418|       LC|   44100Hz|   371|
  419|       LC|   44100Hz|   372|
  420|       LC|   44100Hz|   371|
  421|       LC|   44100Hz|   372|
  422|       LC|   44100Hz|   371|
  423|       LC|   44100Hz|   372|
  424|       LC|   44100Hz|   371|
  425|       LC|   44100Hz|   372|
  426|       LC|   44100Hz|   371|
  427|       LC|   44100Hz|   372|
  428|       LC|   44100Hz|   371|
  429|       LC|   44100Hz|   372|
  430|       LC|   44100Hz|   371|
  431|       LC|   44100Hz|   372|
  432|       LC|   44100Hz|   371|
  433|       LC|   44100Hz|   372|
  434|       LC|   44100Hz|   371|
  435|       LC|   44100Hz|   372|
  436|       LC|   44100Hz|   371|
  437|       LC|   44100Hz|   372|
  438|       LC|   44100Hz|   371|
  439|       LC|   44100Hz|   372|
  440|       LC|   44100Hz|   372|
  441|       LC|   44100Hz|   371|
  442|       LC|   44100Hz|   372|
  443|       LC|   44100Hz|   371|
  444|       LC|   44100Hz|   372|
  445|       LC|   44100Hz|   371|
  446|       LC|   44100Hz|   372|
  447|       LC|   44100Hz|   371|
  448|       LC|   44100Hz|   372|
  449|       LC|   44100Hz|   371|
  450|       LC|   44100Hz|   372|
  451|       LC|   44100Hz|   371|
  452|       LC|   44100Hz|   372|
  453|       LC|   44100Hz|   371|
  454|       LC|   44100Hz|   372|
  455|       LC|   44100Hz|   371|
  456|       LC|   44100Hz|   372|
  457|       LC|   44100Hz|   371|
  458|       LC|   44100Hz|   372|
  459|       LC|   44100Hz|   371|
  460|       LC|   44100Hz|   372|
  461|       LC|   44100Hz|   371|
  462|       LC|   44100Hz|   372|
  463|       LC|   44100Hz|   371|
  464|       LC|   44100Hz|   372|
  465|       LC|   44100Hz|   371|
  466|       LC|   44100Hz|   372|
  467|       LC|   44100Hz|   372|
  468|       LC|   44100Hz|   371|
  469|       LC|   44100Hz|   372|
  470|       LC|   44100Hz|   371|
  471|       LC|   44100Hz|   372|
  472|       LC|   44100Hz|   371|
  473|       LC|   44100Hz|   372|
  474|       LC|   44100Hz|   371|
  475|       LC|   44100Hz|   372|
  476|       LC|   44100Hz|   371|
  477|       LC|   44100Hz|   372|
  478|       LC|   44100Hz|   371|
  479|       LC|   44100Hz|   372|
  480|       LC|   44100Hz|   371|
  481|       LC|   44100Hz|   372|
  482|       LC|   44100Hz|   371|
  483|       LC|   44100Hz|   372|
  484|       LC|   44100Hz|   371|
  485|       LC|   44100Hz|   372|
  486|       LC|   44100Hz|   371|
  487|       LC|   44100Hz|   372|
  488|       LC|   44100Hz|   371|
  489|       LC|   44100Hz|   372|
  490|       LC|   44100Hz|   371|
  491|       LC|   44100Hz|   372|
  492|       LC|   44100Hz|   372|
  493|       LC|   44100Hz|   371|
  494|       LC|   44100Hz|   372|
  495|       LC|   44100Hz|   371|
  496|       LC|   44100Hz|   372|
  497|       LC|   44100Hz|   371|
  498|       LC|   44100Hz|   372|
  499|       LC|   44100Hz|   371|
  500|       LC|   44100Hz|   372|
  501|       LC|   44100Hz|   371|
  502|       LC|   44100Hz|   372|
  503|       LC|   44100Hz|   371|
  504|       LC|   44100Hz|   372|
  505|       LC|   44100Hz|   371|
  506|       LC|   44100Hz|   372|
  507|       LC|   44100Hz|   371|
  508|       LC|   44100Hz|   372|
  509|       LC|   44100Hz|   371|
  510|       LC|   44100Hz|   372|
  511|       LC|   44100Hz|   371|
  512|       LC|   44100Hz|   372|
  513|       LC|   44100Hz|   371|
  514|       LC|   44100Hz|   372|
  515|       LC|   44100Hz|   371|
  516|       LC|   44100Hz|   372|
  517|       LC|   44100Hz|   371|
  518|       LC|   44100Hz|   372|
  519|       LC|   44100Hz|   372|
  520|       LC|   44100Hz|   371|
  521|       LC|   44100Hz|   372|
  522|       LC|   44100Hz|   371|
  523|       LC|   44100Hz|   372|
  524|       LC|   44100Hz|   371|
  525|       LC|   44100Hz|   372|
  526|       LC|   44100Hz|   371|
  527|       LC|   44100Hz|   372|
  528|       LC|   44100Hz|   371|
  529|       LC|   44100Hz|   372|
  530|       LC|   44100Hz|   371|
  531|       LC|   44100Hz|   372|
  532|       LC|   44100Hz|   371|
  533|       LC|   44100Hz|   372|
  534|       LC|   44100Hz|   371|
  535|       LC|   44100Hz|   372|
  536|       LC|   44100Hz|   371|
  537|       LC|   44100Hz|   372|
  538|       LC|   44100Hz|   371|
  539|       LC|   44100Hz|   372|
  540|       LC|   44100Hz|   371|
  541|       LC|   44100Hz|   372|
  542|       LC|   44100Hz|   371|
  543|       LC|   44100Hz|   372|
  544|       LC|   44100Hz|   372|
  545|       LC|   44100Hz|   371|
  546|       LC|   44100Hz|   372|
  547|       LC|   44100Hz|   371|
  548|       LC|   44100Hz|   372|
  549|       LC|   44100Hz|   371|
  550|       LC|   44100Hz|   372|
  551|       LC|   44100Hz|   371|
  552|       LC|   44100Hz|   372|
  553|       LC|   44100Hz|   371|
  554|       LC|   44100Hz|   372|
  555|       LC|   44100Hz|   371|
  556|       LC|   44100Hz|   372|
  557|       LC|   44100Hz|   371|
  558|       LC|   44100Hz|   372|
  559|       LC|   44100Hz|   371|
  560|       LC|   44100Hz|   372|
  561|       LC|   44100Hz|   371|
  562|       LC|   44100Hz|   372|
  563|       LC|   44100Hz|   371|
  564|       LC|   44100Hz|   372|
  565|       LC|   44100Hz|   371|
  566|       LC|   44100Hz|   372|
  567|       LC|   44100Hz|   371|
  568|       LC|   44100Hz|   372|
  569|       LC|   44100Hz|   371|
  570|       LC|   44100Hz|   372|
  571|       LC|   44100Hz|   372|
  572|       LC|   44100Hz|   371|
  573|       LC|   44100Hz|   372|
  574|       LC|   44100Hz|   371|
  575|       LC|   44100Hz|   372|
  576|       LC|   44100Hz|   371|
  577|       LC|   44100Hz|   372|
  578|       LC|   44100Hz|   371|
  579|       LC|   44100Hz|   423|
  580|       LC|   44100Hz|   320|
  581|       LC|   44100Hz|   372|
  582|       LC|   44100Hz|   371|
  583|       LC|   44100Hz|   372|
  584|       LC|   44100Hz|   371|
  585|       LC|   44100Hz|   372|
  586|       LC|   44100Hz|   371|
  587|       LC|   44100Hz|   372|
  588|       LC|   44100Hz|   371|
  589|       LC|   44100Hz|   372|
  590|       LC|   44100Hz|   371|
  591|       LC|   44100Hz|   372|
  592|       LC|   44100Hz|   371|
  593|       LC|   44100Hz|   372|
  594|       LC|   44100Hz|   371|
  595|       LC|   44100Hz|   372|
  596|       LC|   44100Hz|   372|
  597|       LC|   44100Hz|   371|
  598|       LC|   44100Hz|   372|
  599|       LC|   44100Hz|   371|
  600|       LC|   44100Hz|   372|
  601|       LC|   44100Hz|   371|
  602|       LC|   44100Hz|   372|
  603|       LC|   44100Hz|   371|
  604|       LC|   44100Hz|   372|
  605|       LC|   44100Hz|   371|
  606|       LC|   44100Hz|   372|
  607|       LC|   44100Hz|   371|
  608|       LC|   44100Hz|   372|
  609|       LC|   44100Hz|   371|
  610|       LC|   44100Hz|   372|
  611|       LC|   44100Hz|   371|
  612|       LC|   44100Hz|   372|
  613|       LC|   44100Hz|   371|
  614|       LC|   44100Hz|   372|
  615|       LC|   44100Hz|   371|
  616|       LC|   44100Hz|   372|
  617|       LC|   44100Hz|   371|
  618|       LC|   44100Hz|   372|
  619|       LC|   44100Hz|   371|
  620|       LC|   44100Hz|   372|
  621|       LC|   44100Hz|   371|
  622|       LC|   44100Hz|   372|
