-----+- ADTS Frame Table -+------+
 NUM | Profile | Frequency| Size |
  771|       LC|   44100Hz|   371|
  772|       LC|   44100Hz|   372|
  773|       LC|   44100Hz|   371|
  774|       LC|   44100Hz|   372|
  775|       LC|   44100Hz|   371|
  776|       LC|   44100Hz|   372|
  777|       LC|   44100Hz|   371|
  778|       LC|   44100Hz|   372|
  779|       LC|   44100Hz|   372|
  780|       LC|   44100Hz|   371|
  781|       LC|   44100Hz|   372|
  782|       LC|   44100Hz|   371|
  783|       LC|   44100Hz|   372|
  784|       LC|   44100Hz|   371|
  785|       LC|   44100Hz|   372|
  786|       LC|   44100Hz|   371|
  787|       LC|   44100Hz|   372|
  788|       LC|   44100Hz|   371|
  789|       LC|   44100Hz|   372|
  790|       LC|   44100Hz|   371|
  791|       LC|   44100Hz|   372|
  792|       LC|   44100Hz|   371|
  793|       LC|   44100Hz|   372|
  794|       LC|   44100Hz|   371|
  795|       LC|   44100Hz|   372|
  796|       LC|   44100Hz|   371|
  797|       LC|   44100Hz|   372|
  798|       LC|   44100Hz|   371|
  799|       LC|   44100Hz|   372|
  800|       LC|   44100Hz|   371|
  801|       LC|   44100Hz|   372|
  802|       LC|   44100Hz|   371|
  803|       LC|   44100Hz|   372|
  804|       LC|   44100Hz|   372|
  805|       LC|   44100Hz|   371|
  806|       LC|   44100Hz|   372|
  807|       LC|   44100Hz|   371|
  808|       LC|   44100Hz|   372|
  809|       LC|   44100Hz|   371|
  810|       LC|   44100Hz|   372|
  811|       LC|   44100Hz|   371|
  812|       LC|   44100Hz|   372|
  813|       LC|   44100Hz|   371|
  814|       LC|   44100Hz|   372|
  815|       LC|   44100Hz|   371|
  816|       LC|   44100Hz|   372|
  817|       LC|   44100Hz|   371|
  818|       LC|   44100Hz|   372|
  819|       LC|   44100Hz|   371|
  820|       LC|   44100Hz|   372|
  821|       LC|   44100Hz|   371|
  822|       LC|   44100Hz|   372|
  823|       LC|   44100Hz|   371|
  824|       LC|   44100Hz|   372|
  825|       LC|   44100Hz|   371|
  826|       LC|   44100Hz|   372|
  827|       LC|   44100Hz|   371|
  828|       LC|   44100Hz|   372|
  829|       LC|   44100Hz|   371|
  830|       LC|   44100Hz|   372|
  831|       LC|   44100Hz|   372|
  832|       LC|   44100Hz|   371|
  833|       LC|   44100Hz|   372|
  834|       LC|   44100Hz|   371|
  835|       LC|   44100Hz|   372|
  836|       LC|   44100Hz|   371|
  837|       LC|   44100Hz|   372|
  838|       LC|   44100Hz|   371|
  839|       LC|   44100Hz|   372|
  840|       LC|   44100Hz|   371|
  841|       LC|   44100Hz|   372|
  842|       LC|   44100Hz|   371|
  843|       LC|   44100Hz|   372|
  844|       LC|   44100Hz|   371|
  845|       LC|   44100Hz|   372|
  846|       LC|   44100Hz|   371|
  847|       LC|   44100Hz|   372|
  848|       LC|   44100Hz|   371|
  849|       LC|   44100Hz|   372|
  850|       LC|   44100Hz|   371|
  851|       LC|   44100Hz|   372|
  852|       LC|   44100Hz|   371|
  853|       LC|   44100Hz|   372|
  854|       LC|   44100Hz|   371|
  855|       LC|   44100Hz|   372|
  856|       LC|   44100Hz|   372|
  857|       LC|   44100Hz|   371|
  858|       LC|   44100Hz|   372|
  859|       LC|   44100Hz|   371|
  860|       LC|   44100Hz|   372|
  861|       LC|   44100Hz|   371|
  862|       LC|   44100Hz|   372|
  863|       LC|   44100Hz|   371|
  864|       LC|   44100Hz|   372|
  865|       LC|   44100Hz|   371|
  866|       LC|   44100Hz|   372|
  867|       LC|   44100Hz|   371|
  868|       LC|   44100Hz|   372|
  869|       LC|   44100Hz|   371|
  870|       LC|   44100Hz|   372|
  871|       LC|   44100Hz|   371|
  872|       LC|   44100Hz|   372|
  873|       LC|   44100Hz|   371|
  874|       LC|   44100Hz|   372|
  875|       LC|   44100Hz|   371|
  876|       LC|   44100Hz|   372|
  877|       LC|   44100Hz|   371|
  878|       LC|   44100Hz|   372|
  879|       LC|   44100Hz|   371|
  880|       LC|   44100Hz|   372|
  881|       LC|   44100Hz|   372|
  882|       LC|   44100Hz|   371|
  883|       LC|   44100Hz|   372|
  884|       LC|   44100Hz|   371|
  885|       LC|   44100Hz|   372|
  886|       LC|   44100Hz|   371|
  887|       LC|   44100Hz|   372|
  888|       LC|   44100Hz|   371|
  889|       LC|   44100Hz|   372|
  890|       LC|   44100Hz|   371|
  891|       LC|   44100Hz|   372|
  892|       LC|   44100Hz|   371|
  893|       LC|   44100Hz|   372|
  894|       LC|   44100Hz|   371|
  895|       LC|   44100Hz|   372|
  896|       LC|   44100Hz|   371|
  897|       LC|   44100Hz|   372|
  898|       LC|   44100Hz|   371|
  899|       LC|   44100Hz|   372|
  900|       LC|   44100Hz|   371|
  901|       LC|   44100Hz|   372|
  902|       LC|   44100Hz|   371|
  903|       LC|   44100Hz|   372|
  904|       LC|   44100Hz|   371|
  905|       LC|   44100Hz|   372|
  906|       LC|   44100Hz|   371|
  907|       LC|   44100Hz|   372|
  908|       LC|   44100Hz|   372|
  909|       LC|   44100Hz|   371|
  910|       LC|   44100Hz|   372|
  911|       LC|   44100Hz|   371|
  912|       LC|   44100Hz|   372|
  913|       LC|   44100Hz|   371|
  914|       LC|   44100Hz|   372|
  915|       LC|   44100Hz|   371|
  916|       LC|   44100Hz|   372|
  917|       LC|   44100Hz|   371|
  918|       LC|   44100Hz|   372|
  919|       LC|   44100Hz|   371|
  920|       LC|   44100Hz|   372|
  921|       LC|   44100Hz|   371|
  922|       LC|   44100Hz|   372|
  923|       LC|   44100Hz|   371|
  924|       LC|   44100Hz|   372|
  925|       LC|   44100Hz|   371|
  926|       LC|   44100Hz|   372|
  927|       LC|   44100Hz|   371|
  928|       LC|   44100Hz|   372|
  929|       LC|   44100Hz|   371|
  930|       LC|   44100Hz|   372|
  931|       LC|   44100Hz|   371|
  932|       LC|   44100Hz|   372|
  933|       LC|   44100Hz|   372|
  934|       LC|   44100Hz|   371|
  935|       LC|   44100Hz|   372|
  936|       LC|   44100Hz|   371|
  937|       LC|   44100Hz|   372|
  938|       LC|   44100Hz|   371|
  939|       LC|   44100Hz|   372|
  940|       LC|   44100Hz|   371|
  941|       LC|   44100Hz|   372|
  942|       LC|   44100Hz|   371|
  943|       LC|   44100Hz|   372|
  944|       LC|   44100Hz|   371|
  945|       LC|   44100Hz|   372|
  946|       LC|   44100Hz|   371|
  947|       LC|   44100Hz|   372|
  948|       LC|   44100Hz|   371|
  949|       LC|   44100Hz|   372|
  950|       LC|   44100Hz|   371|
  951|       LC|   44100Hz|   372|
  952|       LC|   44100Hz|   371|
  953|       LC|   44100Hz|   372|
  954|       LC|   44100Hz|   371|
  955|       LC|   44100Hz|   372|
  956|       LC|   44100Hz|   371|
  957|       LC|   44100Hz|   372|
  958|       LC|   44100Hz|   371|
  959|       LC|   44100Hz|   372|
  960|       LC|   44100Hz|   372|
  961|       LC|   44100Hz|   371|
  962|       LC|   44100Hz|   372|
  963|       LC|   44100Hz|   371|
  964|       LC|   44100Hz|   372|
  965|       LC|   44100Hz|   371|
  966|       LC|   44100Hz|   372|
  967|       LC|   44100Hz|   371|
  968|       LC|   44100Hz|   372|
  969|       LC|   44100Hz|   371|
  970|       LC|   44100Hz|   372|
  971|       LC|   44100Hz|   371|
  972|       LC|   44100Hz|   372|
  973|       LC|   44100Hz|   371|
  974|       LC|   44100Hz|   372|
  975|       LC|   44100Hz|   371|
  976|       LC|   44100Hz|   372|
  977|       LC|   44100Hz|   371|
  978|       LC|   44100Hz|   372|
  979|       LC|   44100Hz|   371|
  980|       LC|   44100Hz|   372|
  981|       LC|   44100Hz|   371|
  982|       LC|   44100Hz|   372|
  983|       LC|   44100Hz|   371|
  984|       LC|   44100Hz|   372|
  985|       LC|   44100Hz|   372|
  986|       LC|   44100Hz|   371|
  987|       LC|   44100Hz|   372|
  988|       LC|   44100Hz|   371|
  989|       LC|   44100Hz|   372|
  990|       LC|   44100Hz|   371|
  991|       LC|   44100Hz|   372|
  992|       LC|   44100Hz|   371|
  993|       LC|   44100Hz|   372|
  994|       LC|   44100Hz|   371|
  995|       LC|   44100Hz|   372|
  996|       LC|   44100Hz|   371|
  997|       LC|   44100Hz|   372|
  998|       LC|   44100Hz|   371|
  999|       LC|   44100Hz|   372|
 1000|       LC|   44100Hz|   371|
 1001|       LC|   44100Hz|   372|
 1002|       LC|   44100Hz|   371|
 1003|       LC|   44100Hz|   372|
 1004|       LC|   44100Hz|   371|
 1005|       LC|   44100Hz|   372|
 1006|       LC|   44100Hz|   371|
 1007|       LC|   44100Hz|   372|
 1008|       LC|   44100Hz|   371|
 1009|       LC|   44100Hz|   372|
 1010|       LC|   44100Hz|   371|
 1011|       LC|   44100Hz|   372|
 1012|       LC|   44100Hz|   372|
 1013|       LC|   44100Hz|   371|
 1014|       LC|   44100Hz|   372|
 1015|       LC|   44100Hz|   371|
 1016|       LC|   44100Hz|   372|
 1017|       LC|   44100Hz|   371|
 1018|       LC|   44100Hz|   372|
 1019|       LC|   44100Hz|   371|
 1020|       LC|   44100Hz|   372|
 1021|       LC|   44100Hz|   371|
 1022|       LC|   44100Hz|   372|
 1023|       LC|   44100Hz|   371|
 1024|       LC|   44100Hz|   372|
 1025|       LC|   44100Hz|   371|
 1026|       LC|   44100Hz|   372|
 1027|       LC|   44100Hz|   371|
 1028|       LC|   44100Hz|   372|
 1029|       LC|   44100Hz|   371|
 1030|       LC|   44100Hz|   372|
 1031|       LC|   44100Hz|   371|
 1032|       LC|   44100Hz|   372|
 1033|       LC|   44100Hz|   371|
 1034|       LC|   44100Hz|   372|
 1035|       LC|   44100Hz|   371|
 1036|       LC|   44100Hz|   372|
 1037|       LC|   44100Hz|   372|
 1038|       LC|   44100Hz|   371|
 1039|       LC|   44100Hz|   372|
 1040|       LC|   44100Hz|   371|
 1041|       LC|   44100Hz|   372|
 1042|       LC|   44100Hz|   371|
 1043|       LC|   44100Hz|   372|
 1044|       LC|   44100Hz|   371|
 1045|       LC|   44100Hz|   372|
 1046|       LC|   44100Hz|   371|
 1047|       LC|   44100Hz|   372|
 1048|       LC|   44100Hz|   371|
 1049|       LC|   44100Hz|   372|
 1050|       LC|   44100Hz|   371|
 1051|       LC|   44100Hz|   372|
 1052|       LC|   44100Hz|   371|
 1053|       LC|   44100Hz|   372|
 1054|       LC|   44100Hz|   371|
 1055|       LC|   44100Hz|   372|
 1056|       LC|   44100Hz|   371|
 1057|       LC|   44100Hz|   372|
 1058|       LC|   44100Hz|   371|
 1059|       LC|   44100Hz|   372|
 1060|       LC|   44100Hz|   371|
 1061|       LC|   44100Hz|   372|
 1062|       LC|   44100Hz|   371|
 1063|       LC|   44100Hz|   372|
 1064|       LC|   44100Hz|   385|
 1065|       LC|   44100Hz|   358|
 1066|       LC|   44100Hz|   372|
 1067|       LC|   44100Hz|   371|
 1068|       LC|   44100Hz|   372|
 1069|       LC|   44100Hz|   371|
 1070|       LC|   44100Hz|   372|
 1071|       LC|   44100Hz|   371|
 1072|       LC|   44100Hz|   372|
 1073|       LC|   44100Hz|   371|
 1074|       LC|   44100Hz|   372|
 1075|       LC|   44100Hz|   371|
 1076|       LC|   44100Hz|   372|
 1077|       LC|   44100Hz|   371|
 1078|       LC|   44100Hz|   372|
 1079|       LC|   44100Hz|   371|
 1080|       LC|   44100Hz|   372|
 1081|       LC|   44100Hz|   371|
 1082|       LC|   44100Hz|   372|
 1083|       LC|   44100Hz|   371|
 1084|       LC|   44100Hz|   372|
 1085|       LC|   44100Hz|   371|
 1086|       LC|   44100Hz|   372|
 1087|       LC|   44100Hz|   371|
 1088|       LC|   44100Hz|   372|
 1089|       LC|   44100Hz|   372|
 1090|       LC|   44100Hz|   371|
 1091|       LC|   44100Hz|   372|
 1092|       LC|   44100Hz|   371|
 1093|       LC|   44100Hz|   372|
 1094|       LC|   44100Hz|   371|
 1095|       LC|   44100Hz|   372|
 1096|       LC|   44100Hz|   371|
 1097|       LC|   44100Hz|   372|
 1098|       LC|   44100Hz|   371|
 1099|       LC|   44100Hz|   372|
 1100|       LC|   44100Hz|   371|
 1101|       LC|   44100Hz|   372|
 1102|       LC|   44100Hz|   371|
 1103|       LC|   44100Hz|   372|
 1104|       LC|   44100Hz|   371|
 1105|       LC|   44100Hz|   372|
 1106|       LC|   44100Hz|   371|
 1107|       LC|   44100Hz|   372|
 1108|       LC|   44100Hz|   371|
 1109|       LC|   44100Hz|   372|
 1110|       LC|   44100Hz|   371|
 1111|       LC|   44100Hz|   372|
 1112|       LC|   44100Hz|   371|
 1113|       LC|   44100Hz|   372|
 1114|       LC|   44100Hz|   371|
 1115|       LC|   44100Hz|   372|
 1116|       LC|   44100Hz|   372|
 1117|       LC|   44100Hz|   371|
 1118|       LC|   44100Hz|   372|
 1119|       LC|   44100Hz|   371|
 1120|       LC|   44100Hz|   372|
 1121|       LC|   44100Hz|   371|
 1122|       LC|   44100Hz|   372|
 1123|       LC|   44100Hz|   371|
 1124|       LC|   44100Hz|   372|
 1125|       LC|   44100Hz|   371|
 1126|       LC|   44100Hz|   372|
 1127|       LC|   44100Hz|   371|
 1128|       LC|   44100Hz|   372|
 1129|       LC|   44100Hz|   371|
 1130|       LC|   44100Hz|   372|
 1131|       LC|   44100Hz|   371|
 1132|       LC|   44100Hz|   372|
 1133|       LC|   44100Hz|   371|
 1134|       LC|   44100Hz|   372|
 1135|       LC|   44100Hz|   371|
 1136|       LC|   44100Hz|   473|
 1137|       LC|   44100Hz|   270|
 1138|       LC|   44100Hz|   372|
 1139|       LC|   44100Hz|   371|
 1140|       LC|   44100Hz|   372|
 1141|       LC|   44100Hz|   372|
 1142|       LC|   44100Hz|   371|
 1143|       LC|   44100Hz|   372|
 1144|       LC|   44100Hz|   371|
 1145|       LC|   44100Hz|   372|
 1146|       LC|   44100Hz|   371|
 1147|       LC|   44100Hz|   372|
 1148|       LC|   44100Hz|   371|
 1149|       LC|   44100Hz|   372|
 1150|       LC|   44100Hz|   371|
 1151|       LC|   44100Hz|   372|
 1152|       LC|   44100Hz|   371|
 1153|       LC|   44100Hz|   372|
 1154|       LC|   44100Hz|   371|
 1155|       LC|   44100Hz|   372|
 1156|       LC|   44100Hz|   371|
 1157|       LC|   44100Hz|   372|
 1158|       LC|   44100Hz|   371|
 1159|       LC|   44100Hz|   372|
 1160|       LC|   44100Hz|   371|
 1161|       LC|   44100Hz|   372|
 1162|       LC|   44100Hz|   371|
 1163|       LC|   44100Hz|   372|
 1164|       LC|   44100Hz|   371|
 1165|       LC|   44100Hz|   372|
 1166|       LC|   44100Hz|   371|
 1167|       LC|   44100Hz|   372|
 1168|       LC|   44100Hz|   372|
 1169|       LC|   44100Hz|   371|
 1170|       LC|   44100Hz|   372|
 1171|       LC|   44100Hz|   371|
 1172|       LC|   44100Hz|   372|
 1173|       LC|   44100Hz|   371|
 1174|       LC|   44100Hz|   372|
 1175|       LC|   44100Hz|   371|
 1176|       LC|   44100Hz|   372|
 1177|       LC|   44100Hz|   371|
 1178|       LC|   44100Hz|   372|
 1179|       LC|   44100Hz|   371|
 1180|       LC|   44100Hz|   372|
 1181|       LC|   44100Hz|   371|
 1182|       LC|   44100Hz|   372|
 1183|       LC|   44100Hz|   371|
 1184|       LC|   44100Hz|   372|
 1185|       LC|   44100Hz|   371|
 1186|       LC|   44100Hz|   372|
 1187|       LC|   44100Hz|   371|
 1188|       LC|   44100Hz|   372|
 1189|       LC|   44100Hz|   371|
 1190|       LC|   44100Hz|   372|
 1191|       LC|   44100Hz|   371|
 1192|       LC|   44100Hz|   372|
 1193|       LC|   44100Hz|   372|
 1194|       LC|   44100Hz|   371|
 1195|       LC|   44100Hz|   372|
 1196|       LC|   44100Hz|   371|
 1197|       LC|   44100Hz|   372|
 1198|       LC|   44100Hz|   371|
 1199|       LC|   44100Hz|   372|
 1200|       LC|   44100Hz|   371|
 1201|       LC|   44100Hz|   372|
 1202|       LC|   44100Hz|   371|
 1203|       LC|   44100Hz|   372|
 1204|       LC|   44100Hz|   371|
 1205|       LC|   44100Hz|   372|
 1206|       LC|   44100Hz|   371|
 1207|       LC|   44100Hz|   372|
 1208|       LC|   44100Hz|   371|
 1209|       LC|   44100Hz|   372|
 1210|       LC|   44100Hz|   371|
 1211|       LC|   44100Hz|   372|
 1212|       LC|   44100Hz|   371|
 1213|       LC|   44100Hz|   372|
 1214|       LC|   44100Hz|   371|
 1215|       LC|   44100Hz|   372|
 1216|       LC|   44100Hz|   371|
 1217|       LC|   44100Hz|   372|
 1218|       LC|   44100Hz|   371|
 1219|       LC|   44100Hz|   372|
 1220|       LC|   44100Hz|   372|
 1221|       LC|   44100Hz|   371|
 1222|       LC|   44100Hz|   372|
 1223|       LC|   44100Hz|   371|
 1224|       LC|   44100Hz|   372|
 1225|       LC|   44100Hz|   371|
 1226|       LC|   44100Hz|   372|
 1227|       LC|   44100Hz|   371|
 1228|       LC|   44100Hz|   372|
 1229|       LC|   44100Hz|   371|
 1230|       LC|   44100Hz|   372|
 1231|       LC|   44100Hz|   371|
 1232|       LC|   44100Hz|   372|
 1233|       LC|   44100Hz|   371|
 1234|       LC|   44100Hz|   372|
 1235|       LC|   44100Hz|   371|
 1236|       LC|   44100Hz|   372|
 1237|       LC|   44100Hz|   371|
 1238|       LC|   44100Hz|   372|
 1239|       LC|   44100Hz|   371|
 1240|       LC|   44100Hz|   372|
 1241|       LC|   44100Hz|   371|
 1242|       LC|   44100Hz|   372|
 1243|       LC|   44100Hz|   371|
 1244|       LC|   44100Hz|   372|
 1245|       LC|   44100Hz|   372|
 1246|       LC|   44100Hz|   371|
 1247|       LC|   44100Hz|   372|
 1248|       LC|   44100Hz|   371|
 1249|       LC|   44100Hz|   372|
 1250|       LC|   44100Hz|   371|
 1251|       LC|   44100Hz|   372|
 1252|       LC|   44100Hz|   371|
 1253|       LC|   44100Hz|   372|
 1254|       LC|   44100Hz|   371|
 1255|       LC|   44100Hz|   372|
 1256|       LC|   44100Hz|   371|
 1257|       LC|   44100Hz|   372|
 1258|       LC|   44100Hz|   371|
 1259|       LC|   44100Hz|   372|
 1260|       LC|   44100Hz|   371|
 1261|       LC|   44100Hz|   372|
 1262|       LC|   44100Hz|   371|
 1263|       LC|   44100Hz|   372|
 1264|       LC|   44100Hz|   371|
 1265|       LC|   44100Hz|   372|
 1266|       LC|   44100Hz|   371|
 1267|       LC|   44100Hz|   372|
 1268|       LC|   44100Hz|   371|
 1269|       LC|   44100Hz|   372|
 1270|       LC|   44100Hz|   371|
 1271|       LC|   44100Hz|   372|
 1272|       LC|   44100Hz|   372|
 1273|       LC|   44100Hz|   371|
 1274|       LC|   44100Hz|   372|
 1275|       LC|   44100Hz|   371|
 1276|       LC|   44100Hz|   372|
 1277|       LC|   44100Hz|   371|
 1278|       LC|   44100Hz|   372|
 1279|       LC|   44100Hz|   371|
 1280|       LC|   44100Hz|   372|
 1281|       LC|   44100Hz|   371|
 1282|       LC|   44100Hz|   372|
 1283|       LC|   44100Hz|   371|
 1284|       LC|   44100Hz|   372|
 1285|       LC|   44100Hz|   371|
 1286|       LC|   44100Hz|   372|
 1287|       LC|   44100Hz|   371|
 1288|       LC|   44100Hz|   372|
 1289|       LC|   44100Hz|   371|
 1290|       LC|   44100Hz|   372|
 1291|       LC|   44100Hz|   371|
